# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   56   66 7.55710E+01
   56   67 2.06501E+01
   56   68 4.19818E+02
   56   69 3.52308E+02
   56   70 3.42019E+03
   56   71 2.14297E+03
   56   72 1.80783E+07
   56   73 6.13801E+02
   56   75 6.93147E+09
   56   77 1.51145E+05
   57   53 5.11468E-03
   57   54 9.68659E-03
   57   55 1.08886E-02
   57   56 3.04453E-02
   57   57 4.33530E-02
   57   58 1.34911E-01
   57   59 1.32124E-01
   57   60 3.88267E-01
   57   61 6.11360E-01
   57   62 1.28918E+00
   57   63 1.25644E+00
   57   64 4.09287E+00
   57   65 2.22777E+00
   57   66 7.47316E+00
   57   67 7.41981E+00
   57   68 2.39489E+01
   57   69 4.77983E+01
   57   70 7.64178E+01
   57   71 7.58103E+01
   57   72 4.45308E+02
   57   73 2.66710E+02
   57   74 2.55616E+03
   57   75 6.91549E+03
   57   76 1.72652E+04
   57   77 1.57398E+04
   57   78 1.21426E+05
   57   79 1.74003E+05
   57   80 1.65101E+09
   57   81 6.93147E+09
   58   55 8.76569E-03
   58   56 1.98494E-02
   58   57 2.42979E-02
   58   58 8.79043E-02
   58   59 6.91706E-02
   58   60 2.45517E-01
   58   61 3.14559E-01
   58   62 9.08538E-01
   58   63 9.08607E-01
   58   64 2.72820E+00
   58   65 1.60313E+00
   58   66 8.72343E+00
   58   67 4.75197E+00
   58   68 3.75183E+01
   58   69 5.13035E+01
   58   70 1.45771E+02
   58   71 2.50745E+02
   58   72 9.65863E+02
   58   73 9.89138E+01
   58   74 2.60664E+04
   58   75 1.56612E+04
   58   76 1.37986E+05
   58   77 5.21834E+03
   58   79 6.93147E+09
   58   81 6.93147E+09
   59   56 1.01838E-02
   59   57 1.12732E-02
   59   58 3.15560E-02
   59   59 3.37933E-02
   59   60 1.00162E-01
   59   61 1.23303E-01
   59   62 3.02934E-01
   59   63 3.69118E-01
   59   64 6.79449E-01
   59   65 6.35428E-01
   59   66 1.44032E+00
   59   67 1.71615E+00
   59   68 4.06072E+00
   59   69 7.67599E+00
   59   70 1.13597E+01
   59   71 2.12697E+01
   59   72 3.35228E+01
   59   73 3.94817E+01
   59   74 1.67308E+02
   59   75 3.15426E+02
   59   76 2.70727E+02
   59   77 2.05443E+02
   59   78 1.37316E+03
   59   79 4.24827E+03
   59   80 2.91380E+03
   59   81 6.93147E+09
   59   83 6.93147E+09
   60   58 1.98953E-02
   60   59 1.96622E-02
   60   60 6.94853E-02
   60   61 7.93321E-02
   60   62 2.04236E-01
   60   63 2.29339E-01
   60   64 4.95818E-01
   60   65 4.18555E-01
   60   66 1.16946E+00
   60   67 9.94899E-01
   60   68 3.78957E+00
   60   69 5.16101E+00
   60   70 1.19657E+01
   60   71 2.37632E+01
   60   72 3.98096E+01
   60   73 1.93502E+01
   60   74 4.75099E+02
   60   75 7.60488E+02
   60   76 1.78225E+03
   60   77 4.93222E+02
   60   78 1.22836E+04
   60   79 9.70849E+03
   60   80 7.72560E+07
   60   81 3.57807E+04
   61   59 7.78201E-03
   61   60 1.97838E-02
   61   61 2.55833E-02
   61   62 6.78498E-02
   61   63 9.19476E-02
   61   64 1.58026E-01
   61   65 1.74998E-01
   61   66 3.31599E-01
   61   67 3.98085E-01
   61   68 7.85737E-01
   61   69 1.04932E+00
   61   70 2.10347E+00
   61   71 2.17773E+00
   61   72 6.88349E+00
   61   73 9.77866E+00
   61   74 1.00021E+01
   61   75 3.88538E+01
